feature,importance
year,0.12151631
station_lat,0.10489749
station_alt,0.093907796
archived,0.08366299
station_status,0.07863285
station_lng,0.067894585
abs_latitude,0.061192498
horizon,0.06029266
experimental,0.058468126
month,0.04179441
duration_seconds,0.035524968
day_of_year,0.0337566
week_of_year,0.023495322
month_cos,0.02014836
month_sin,0.019229123
rise_azimuth,0.019059628
max_altitude,0.018993737
altitude_squared,0.015672835
set_azimuth,0.0155731
altitude_log,0.012116486
hour_of_day,0.0039939913
hour_cos,0.0037346405
day_of_week,0.0032336677
hour_sin,0.00320783
