feature,importance_mean,importance_std
archived,0.11139999999999999,0.00516139516022558
year,0.10739999999999998,0.005122499389946284
station_lat,0.06239999999999994,0.004270831300812529
station_alt,0.05939999999999994,0.009002221947941527
station_lng,0.045399999999999996,0.005919459434779456
abs_latitude,0.043400000000000036,0.0018547236990991425
horizon,0.029800000000000028,0.00271293199325011
station_status,0.024400000000000022,0.009769339793455858
experimental,0.021200000000000017,0.004261455150532507
rise_azimuth,0.015400000000000014,0.0029393876913398165
day_of_year,0.013600000000000011,0.002576819745345027
duration_seconds,0.013600000000000011,0.0014966629547095778
set_azimuth,0.013000000000000012,0.00268328157299975
week_of_year,0.007400000000000006,0.0008000000000000007
month,0.007200000000000007,0.0004000000000000004
month_cos,0.004400000000000004,0.002576819745345027
month_sin,0.0032000000000000028,0.0023151673805580472
altitude_squared,0.0020000000000000018,0.0012649110640673528
hour_of_day,0.0018000000000000017,0.0007483314773547889
max_altitude,0.001200000000000001,0.0016000000000000014
altitude_log,0.00040000000000000034,0.002244994432064367
hour_sin,-0.00020000000000000017,0.0016000000000000014
hour_cos,-0.00020000000000000017,0.00040000000000000034
day_of_week,-0.0006000000000000005,0.0004898979485566361
